A2M
A4GALT
AAR2
AATK
ABCA13
ABCA8
ABCB1
ABCC5
ABCC9
ABCD1
ABCD2
ABHD8
ABI3BP
ABLIM1
ABLIM3
AC002310.12
AC002467.7
AC002472.13
AC003665.1
AC004840.9
AC004893.11
AC005003.1
AC005498.3
AC005944.2
AC006129.2
AC006129.4
AC006132.1
AC007092.1
AC007255.8
AC007292.6
AC007382.1
AC007390.5
AC008443.1
AC008964.1
AC008982.2
AC009299.3
AC009403.2
AC009480.3
AC009950.2
AC010883.5
AC011526.1
AC012314.8
AC012487.2
AC013264.2
AC016629.8
AC016747.3
AC016757.3
AC017048.3
AC018816.3
AC019117.1
AC019117.2
AC021224.1
AC025171.1
AC034220.3
AC062029.1
AC068282.3
AC074138.3
AC074183.4
AC079305.10
AC079354.1
AC079922.3
AC083949.1
AC092071.1
AC092580.4
AC093157.1
AC096574.4
AC096579.7
AC098820.3
AC100830.4
AC104532.4
AC104653.1
AC116366.6
AC133528.2
AC195454.1
ACAD10
ACAP1
ACAP3
ACBD4
ACKR4
ACOX1
ACRC
ACSF3
ACSL4
ACSL5
ACTA2
ACTRT3
ADAM28
ADAMTS1
ADAMTS4
ADAMTS8
ADAMTS9
ADARB1
ADAT2
ADC
ADCY4
ADCY6
ADCY9
ADH1B
ADIRF
ADM
ADORA1
ADORA2B
ADPGK-AS1
ADPRHL1
ADRB2
ADSSL1
AFAP1
AFAP1L1
AFAP1L2
AFF1
AFMID
AGAP2
AGBL3
AGBL4
AGER
AGK
AGO4
AGPAT9
AGR2
AGR3
AGTR2
AHNAK2
AIF1
AIFM2
AIG1
AIMP2
AJUBA
AK9
AKAP12
AKAP6
AKAP7
AKAP8L
AL133245.2
AL136419.6
AL139099.1
AL441883.1
ALDH7A1
ALG6
ALS2CL
ALS2CR12
AMIGO1
AMMECR1L
AMN
AMPH
AMT
ANAPC4
ANGPT1
ANGPT2
ANGPTL1
ANK2
ANKDD1A
ANKMY1
ANKRD1
ANKRD16
ANKRD26
ANKRD37
ANKRD46
ANKRD66
ANKS1A
ANKS3
ANKS6
ANO10
ANO9
ANTXR1
ANXA1
ANXA2R
ANXA6
AOC3
AP000254.8
AP000442.1
AP000688.8
AP001053.11
AP001372.2
AP002954.4
AP003025.2
AP003774.1
AP006621.5
AP1M2
AP3M2
AP5Z1
APBA2
APBB1
APBB2
APITD1
APLN
APOBEC3A
APOBEC3D
APOBEC3F
APOBEC3G
APOD
APOE
APOL2
APOL3
APOLD1
AQP4
AQP5
AR
ARAP1-AS1
ARFGAP3
ARFIP1
ARHGAP11A
ARHGAP19
ARHGAP20
ARHGAP25
ARHGAP29
ARHGAP44
ARHGAP8
ARHGEF15
ARHGEF16
ARHGEF18
ARHGEF19
ARHGEF26
ARHGEF26-AS1
ARHGEF38
ARID5B
ARIH1
ARL10
ARL14EP
ARL4C
ARL8A
ARMC4
ARMC5
ARNT2
ARSD
ART4
ASAP2
ASAP3
ASB13
ASCC3
ASF1A
ASNS
ASPM
ASPN
ASRGL1
ASTN2
ATAD2
ATAT1
ATF3
ATF6
ATF6B
ATF7IP
ATF7IP2
ATG9A
ATG9B
ATHL1
ATP10D
ATP1A1OS
ATP6V0A4
ATP6V1C2
ATP6V1E2
ATP7B
ATP8A1
ATP8B1
ATXN1
ATXN7L1
AURKA
AUTS2
AXIN1
B3GALT2
B4GALT2
B4GALT6
BAALC
BACH1-IT1
BAG2
BAIAP3
BANK1
BAP1
BARX2
BBS1
BBS4
BCAS1
BCAS2
BCHE
BCL2
BCL2L12
BCL2L14
BCL6B
BCYRN1
BDH1
BDH2
BEGAIN
BEST4
BICD2
BIN2
BIRC3
BIRC5
BLM
BMP3
BMPR2
BMS1
BMS1P20
BMX
BOD1L1
BOLA3-AS1
BPHL
BPIFB1
BRCA2
BRCC3
BRPF1
BRWD1
BRWD3
BTAF1
BTBD3
BTBD8
BTN2A1
BTNL9
BTRC
BUB3
BZRAP1
C10orf10
C10orf112
C10orf12
C10orf35
C11orf16
C11orf74
C11orf82
C11orf88
C11orf95
C11orf96
C12orf29
C12orf4
C12orf49
C12orf55
C12orf75
C12orf76
C14orf132
C14orf182
C14orf37
C16orf45
C16orf71
C16orf87
C16orf93
C17orf100
C17orf59
C17orf72
C17orf80
C19orf12
C19orf18
C19orf38
C19orf52
C19orf57
C19orf66
C1GALT1
C1QA
C1QB
C1QTNF5
C1R
C1S
C1orf101
C1orf106
C1orf110
C1orf112
C1orf115
C1orf123
C1orf158
C1orf173
C1orf186
C1orf192
C1orf194
C1orf198
C1orf222
C1orf51
C1orf54
C20orf196
C20orf197
C20orf85
C21orf119
C21orf49
C22orf46
C2CD4B
C2orf40
C2orf54
C2orf62
C2orf68
C2orf70
C2orf76
C4BPA
C4BPB
C4orf21
C4orf27
C4orf29
C4orf33
C4orf36
C4orf46
C5orf42
C6
C6orf123
C6orf132
C6orf163
C6orf203
C6orf47
C6orf99
C7
C7orf63
C8orf33
C8orf34
C8orf4
C8orf44
C8orf47
C9orf114
C9orf116
C9orf117
C9orf24
C9orf64
C9orf69
CA4
CA8
CAB39L
CACNA1D
CACNG4
CACNG6
CADM2
CALB2
CALCRL
CALD1
CALHM2
CALM1
CAMK2G
CAMK4
CAMKMT
CAND2
CAPN15
CAPN5
CAPN7
CAPN8
CAPRIN2
CAPS
CAPSL
CARD11
CARD6
CARD8
CASC1
CASC15
CASC5
CASKIN2
CASP8AP2
CATSPER2
CATSPERD
CAV1
CAV2
CBFA2T3
CBLB
CBR3-AS1
CBWD3
CBWD6
CBX7
CBX8
CC2D1B
CC2D2A
CCBE1
CCBL1
CCDC108
CCDC11
CCDC112
CCDC113
CCDC117
CCDC120
CCDC127
CCDC13
CCDC14
CCDC146
CCDC147
CCDC151
CCDC153
CCDC17
CCDC170
CCDC173
CCDC174
CCDC175
CCDC176
CCDC19
CCDC28B
CCDC30
CCDC37
CCDC39
CCDC41
CCDC42B
CCDC58
CCDC60
CCDC65
CCDC67
CCDC69
CCDC80
CCDC85B
CCDC96
CCL17
CCL18
CCL2
CCL20
CCL21
CCL3
CCL4
CCL4L2
CCL5
CCNB1IP1
CCND1
CCNDBP1
CCNE2
CCNK
CCR7
CCRL2
CCZ1
CD160
CD164L2
CD1C
CD2
CD200
CD207
CD22
CD226
CD244
CD247
CD27
CD28
CD2AP
CD300A
CD300E
CD34
CD36
CD3D
CD3E
CD3G
CD40LG
CD48
CD55
CD69
CD8A
CD8B
CD93
CD96
CDC20B
CDC34
CDC42EP4
CDC7
CDCA3
CDCA7
CDCA7L
CDH11
CDH23
CDH26
CDH5
CDHR3
CDHR4
CDIPT
CDK12
CDK5R1
CDK5RAP2
CDK6
CDKL1
CDKL2
CDKN1A
CDKN2A
CDKN2AIP
CDKN2B-AS1
CDKN2D
CDR2
CDR2L
CDS1
CEACAM5
CEACAM6
CELSR1
CENPF
CENPJ
CEP112
CEP120
CEP128
CEP152
CEP170B
CEP19
CEP192
CEP250
CEP290
CEP55
CEP57L1
CEP78
CEP85L
CEP95
CES4A
CETN2
CFD
CFH
CFLAR-AS1
CHADL
CHAMP1
CHD3
CHD6
CHD7
CHFR
CHIC1
CHIC2
CHPF
CHRDL1
CHST9
CKAP2
CKAP5
CKB
CKMT2-AS1
CLASP2
CLCN3
CLCN4
CLCN7
CLCNKB
CLDN1
CLDN18
CLDN5
CLDND1
CLEC14A
CLEC1A
CLEC2D
CLEC4E
CLEC5A
CLGN
CLHC1
CLIC3
CLIC5
CLSTN2
CLSTN3
CLTCL1
CLU
CLUAP1
CLUL1
CMPK2
CNKSR2
CNKSR3
CNPPD1
CNTN1
CNTN3
CNTNAP1
COBLL1
COG3
COL12A1
COL14A1
COL15A1
COL17A1
COL18A1
COL1A2
COL3A1
COL4A1
COL4A2
COL4A6
COL5A2
COL6A1
COL6A2
COL6A3
COL6A6
COL8A1
COL8A2
COLGALT2
COMMD1
COMTD1
COPG2
COPS7A
COPS7B
COQ10B
COQ6
COQ9
CORO1A
COX7A1
CP
CPA3
CPB2
CPE
CPLX1
CPNE2
CPNE5
CPNE8
CPVL
CRABP2
CRAMP1L
CREB3
CREB3L4
CRIM1
CRIP2
CRIPAK
CRISPLD1
CROCC
CROT
CRTAM
CRYAB
CRYL1
CSAD
CSF1
CSF2RB
CSMD1
CSNK1G2
CSPP1
CSRP2BP
CST6
CST7
CTA-292E10.6
CTA-293F17.1
CTA-363E6.2
CTA-445C9.15
CTB-129O4.1
CTB-152G17.6
CTB-167B5.2
CTB-31O20.2
CTB-36H16.2
CTBP1-AS2
CTC-277H1.7
CTC-338M12.4
CTC-378H22.1
CTC-428H11.2
CTC-459F4.3
CTC-487M23.8
CTC-503J8.6
CTC-550B14.7
CTC-559E9.6
CTD-2006C1.2
CTD-2007H13.3
CTD-2008P7.9
CTD-2020K17.4
CTD-2035E11.5
CTD-2085J24.4
CTD-2086O20.3
CTD-2105E13.14
CTD-2127H9.1
CTD-2201E18.3
CTD-2260A17.2
CTD-2314B22.3
CTD-2369P2.2
CTD-2369P2.8
CTD-2516F10.2
CTD-2528L19.6
CTD-2659N19.10
CTD-3018O17.3
CTD-3094K11.1
CTD-3193O13.9
CTD-3195I5.1
CTDP1
CTGF
CTNNAL1
CTSG
CTSH
CTSS
CTSW
CTTNBP2
CTXN1
CUBN
CUL1
CUL2
CUL3
CUL5
CUL9
CWC27
CX3CL1
CX3CR1
CXADR
CXCL1
CXCL12
CXCL2
CXCL3
CXCL5
CXCR1
CXCR4
CXorf30
CXorf56
CXorf57
CYB5A
CYP1B1
CYP3A5
CYP4B1
CYP7B1
CYR61
CYTL1
CYYR1
DAAM1
DACH1
DAG1
DAPK2
DARC
DBF4B
DCAF12
DCAF17
DCAKD
DCBLD1
DCDC2B
DCLK1
DCLRE1A
DCN
DCP1A
DCSTAMP
DCTN5
DCUN1D4
DDC
DDHD2
DDX19A
DDX31
DDX39A
DDX39B
DDX43
DDX55
DDX60L
DENND1A
DENND1B
DENND2A
DENND2D
DENND3
DEPTOR
DGCR14
DGKA
DHRS1
DHX16
DHX35
DHX9
DIABLO
DIAPH3
DICER1
DIS3L2
DIXDC1
DKFZP667F0711
DKFZP779L1853
DKK3
DLEC1
DLEU2L
DLG2
DLG3
DLG4
DLG5
DLGAP4
DLGAP5
DLX4
DMBT1
DMD
DMPK
DMRTA1
DNAAF1
DNAH10OS
DNAH12
DNAH17
DNAH3
DNAH5
DNAH7
DNAH8
DNAI1
DNAI2
DNAJB4
DNAJC12
DNAJC5B
DNAL1
DNALI1
DNASE1L3
DND1
DNER
DNM3
DNMBP-AS1
DNMT3B
DOHH
DONSON
DPCD
DPT
DPY19L2
DRAXIN
DRC1
DSP
DST
DSTYK
DTD2
DTHD1
DTX2
DTYMK
DUOX2
DUOXA2
DUSP16
DUSP4
DUSP8
DYDC2
DYM
DYNC2H1
DYNC2LI1
DYNLRB2
DYNLT1
DYX1C1
DZANK1
DZIP3
E2F3
E2F6
E4F1
EBF1
EBLN2
ECE1
ECI2
ECM2
ECSCR
ECT2L
EDN1
EDNRA
EDNRB
EEFSEC
EFCAB1
EFCAB10
EFCAB13
EFCAB14
EFCAB2
EFCAB4B
EFCAB5
EFCAB6
EFCAB7
EFEMP1
EFEMP2
EFHB
EFHC1
EFHD1
EFNA5
EFNB2
EFS
EFTUD1
EGFL7
EGLN3
EGR1
EGR3
EHBP1
EHD3
EHMT1
EI24
EID3
EIF1AD
EIF2AK1
EIF4E3
ELAVL1
ELAVL4
ELF5
ELK3
ELL
ELMO1
ELMO2
ELMO3
ELMOD3
ELOVL6
ELP4
ELP5
ELTD1
EMB
EMCN
EME2
EML1
EML5
EML6
EMP1
EMP2
ENKUR
ENO1-AS1
ENO1-IT1
ENO2
ENO3
ENOSF1
ENOX2
ENPP2
ENPP5
ENTPD4
EOGT
EOMES
EPAS1
EPB41
EPB41L4B
EPB42
EPHA1-AS1
EPHB6
EPHX3
EPPIN
EPS15
EPS8L2
ERAL1
ERBB4
ERC1
ERG
ERRFI1
ESAM
ESM1
ESPN
ESRRG
ESYT3
ETS1
ETV3
ETV6
ETV7
EVPL
EXD2
EXO5
EXOC2
EXTL2
EXTL3
F13A1
F2R
F2RL3
F3
FABP4
FABP6
FADD
FAF1
FAF2
FAM102B
FAM105A
FAM107A
FAM110B
FAM111B
FAM115A
FAM120C
FAM13B
FAM13C
FAM151B
FAM154B
FAM160A2
FAM161A
FAM166A
FAM166B
FAM171A1
FAM174A
FAM178A
FAM183A
FAM189B
FAM193A
FAM195A
FAM198A
FAM198B
FAM200A
FAM200B
FAM208B
FAM209B
FAM213B
FAM216B
FAM219A
FAM220A
FAM227A
FAM229B
FAM24B
FAM26E
FAM35A
FAM43A
FAM47E-STBD1
FAM63B
FAM65B
FAM69A
FAM69B
FAM71D
FAM73B
FAM76B
FAM81B
FAM83A
FAM83G
FAM84A
FAM84B
FAM86C1
FAM89B
FAM8A1
FAM92B
FAM98A
FAN1
FANCA
FANCB
FANCF
FANK1
FAS
FASLG
FAT4
FAXDC2
FBL
FBLN1
FBLN2
FBLN5
FBLN7
FBN1
FBP1
FBXL12
FBXL18
FBXL19
FBXL6
FBXO17
FBXO18
FBXO2
FBXO25
FBXO28
FBXO32
FBXO34
FBXO36
FBXO41
FBXO6
FBXW7
FCER1A
FCGBP
FCGR3B
FCHO1
FCN1
FCN3
FCRL3
FCRL6
FDX1
FENDRR
FER
FEZ1
FGD4
FGF14-AS2
FGF7
FGFBP2
FGFR4
FGL2
FHAD1
FHL2
FHOD1
FHOD3
FIGF
FILIP1L
FJX1
FKBP1B
FKBP4
FKBP5
FLAD1
FLI1
FLI1-AS1
FLNC
FLRT3
FLT1
FLT4
FMNL3
FMO2
FMO3
FN1
FNBP1L
FNIP2
FNTB
FOCAD
FOLR2
FOS
FOSB
FOSL2
FOXC1
FOXF1
FOXJ1
FOXJ2
FOXM1
FOXO1
FOXO3
FOXP1
FPR3
FRAT1
FRAT2
FRG1B
FRMD3
FRMD6
FRS2
FRYL
FSCN1
FSD1L
FSIP1
FSIP2
FSTL1
FSTL3
FTSJ1
FTSJ2
FUT1
FUT11
FXYD6
FZD4
G0S2
GABBR1
GABPB2
GABRP
GADD45A
GAK
GALM
GALNT5
GAN
GARNL3
GAS2L1
GAS2L3
GAS6
GAS8
GATA1
GATA2
GATC
GATM
GATS
GBP2
GBP4
GBP5
GBP7
GCAT
GCH1
GCLM
GCNT1
GDF10
GDF15
GEN1
GFM2
GFPT2
GGT5
GHDC
GIMAP5
GIMAP6
GIMAP7
GINS2
GIPC2
GIPR
GJA1
GJC1
GK-IT1
GLI3
GLIS3
GLMN
GLRB
GLTPD1
GLUD2
GMEB1
GMPR
GNA11
GNA12
GNA13
GNAZ
GNE
GNG11
GNG2
GNL3L
GNLY
GNMT
GOLGA1
GOLGA8B
GORAB
GOSR1
GPATCH1
GPATCH3
GPC1
GPC3
GPIHBP1
GPM6B
GPR107
GPR110
GPR124
GPR155
GPR160
GPR161
GPR162
GPR183
GPR4
GPR56
GPRC5A
GPRC5B
GPRIN2
GPS2
GPT2
GPX3
GPX8
GRAP
GRK6
GRM7
GRN
GRWD1
GS1-124K5.3
GS1-251I9.4
GS1-358P8.4
GS1-393G12.12
GSTA1
GSTA3
GSTO2
GSTP1
GTDC1
GTF2A1
GTF2IRD1
GTF2IRD2
GTF2IRD2B
GTF3C3
GTPBP8
GTSF1
GUCY1A3
GUF1
GULP1
GYS1
GZMA
GZMB
GZMH
GZMK
H6PD
HARS2
HAUS5
HAUS8
HBB
HCAR1
HCCS
HCLS1
HCP5
HCST
HDAC11
HDAC5
HDC
HDHD1
HEATR3
HEBP2
HECA
HECTD1
HECTD2
HEG1
HELLS
HELZ
HES1
HES2
HES4
HEXDC
HEXIM2
HEY1
HEY2
HGF
HHEX
HHIP
HHLA3
HIATL1
HIATL2
HIC2
HILPDA
HIP1
HIPK2
HIST1H1D
HIST1H1E
HIST1H2AC
HIST1H2BC
HIST1H2BD
HIST1H3A
HIST1H4E
HIVEP1
HLA-DOB
HLA-DPA1
HLA-E
HLTF
HLX
HM13-IT1
HMGN3-AS1
HMGXB4
HMHA1
HN1L
HNRNPCL1
HNRNPL
HNRNPLL
HOMER2
HOTAIRM1
HOXA7
HOXB-AS1
HOXB7
HPGD
HPGDS
HPRT1
HPS4
HRCT1
HS2ST1
HS6ST1
HS6ST2
HSD11B1
HSD17B13
HSDL1
HSF2
HSH2D
HSPA12A
HSPA13
HSPA1L
HSPA4L
HSPG2
HTRA1
HYAL2
IBA57
ICA1L
ICAM1
ICK
ICOS
ID1
ID2
ID3
IDH1-AS1
IDH3B
IDUA
IER3
IER5L
IFI27
IFI27L1
IFI44
IFIH1
IFIT1
IFITM1
IFITM10
IFITM3
IFNG
IFNLR1
IFT172
IFT46
IFT81
IGF1
IGF1R
IGF2BP3
IGFBP3
IGFBP4
IGFBP5
IGFBP6
IGFBP7
IGFLR1
IGHA1
IGHA2
IGHG1
IGHG3
IGHM
IGJ
IGKC
IGLC2
IGLC3
IGLL5
IGSF8
IKBIP
IL17RC
IL18RAP
IL1A
IL1B
IL1R2
IL1RL1
IL20RB
IL2RB
IL32
IL33
IL6
IL7
IL7R
IL8
ILF3-AS1
IMMP2L
INADL
ING1
INHBB
INMT
INPP4B
INPP5D
INPP5E
INTS3
INTU
IPCEF1
IPO11
IPO4
IPO9
IPP
IQCH
IQCK
IQSEC3
IRAK2
IRF2BPL
IRF9
IRGQ
IRX5
IRX6
ISG20
ISLR
ITGA1
ITGA2
ITGA6
ITGA8
ITGB2-AS1
ITGB7
ITGB8
ITLN1
ITM2A
ITM2C
ITPR1
ITPRIPL1
